"Datum,""Ticket Nummer"",""Knop Keuze"",""Balie"",""Tijd Start"",""Tijd Aangenomen"",""Wachttijd in sec"""
"2023-06-01,""213"",""1"",""4"",""14:51:25"",""14:52:21"",""56"""
"2023-06-01,""214"",""1"",""4"",""14:53:12"",""14:53:34"",""22"""
"2023-06-01,""215"",""1"",""5"",""14:53:20"",""14:53:53"",""33"""
"2023-06-01,""216"",""1"",""3"",""14:53:42"",""14:54:42"",""60"""
"2023-06-01,""217"",""1"",""5"",""14:57:55"",""14:58:08"",""13"""
"2023-06-01,""218"",""1"",""3"",""14:58:23"",""15:01:07"",""164"""
"2023-06-01,""219"",""1"",""4"",""15:03:17"",""15:03:24"",""7"""
"2023-06-01,""220"",""1"",""4"",""15:06:32"",""15:07:09"",""37"""
"2023-06-01,""221"",""1"",""4"",""15:11:09"",""15:11:55"",""46"""
"2023-06-01,""222"",""1"",""4"",""15:21:21"",""15:21:54"",""33"""
"2023-06-01,""223"",""1"",""3"",""15:22:59"",""15:26:00"",""181"""
"2023-06-01,""224"",""1"",""5"",""15:24:22"",""15:26:16"",""114"""
"2023-06-01,""225"",""1"",""2"",""15:25:01"",""15:27:26"",""145"""
"2023-06-01,""226"",""1"",""3"",""15:25:46"",""15:28:21"",""155"""
"2023-06-01,""227"",""1"",""5"",""15:30:06"",""15:31:05"",""59"""
"2023-06-01,""228"",""1"",""5"",""15:31:09"",""15:33:26"",""137"""
"2023-06-01,""229"",""1"",""3"",""15:32:46"",""15:34:06"",""80"""
"2023-06-01,""230"",""1"",""3"",""15:34:38"",""15:36:06"",""88"""
"2023-06-01,""231"",""1"",""4"",""15:37:56"",""15:42:09"",""253"""
"2023-06-01,""232"",""1"",""4"",""15:40:44"",""15:42:47"",""123"""
"2023-06-01,""233"",""1"",""4"",""15:44:50"",""15:45:21"",""31"""
"2023-06-01,""234"",""1"",""4"",""15:48:58"",""15:49:13"",""15"""
"2023-06-01,""235"",""1"",""4"",""15:50:56"",""15:51:01"",""5"""
"2023-06-01,""236"",""1"",""4"",""15:53:37"",""15:54:13"",""36"""
"2023-06-01,""237"",""1"",""5"",""15:55:00"",""15:59:14"",""254"""
"2023-06-01,""238"",""1"",""5"",""15:56:42"",""16:00:18"",""216"""
"2023-06-01,""239"",""1"",""3"",""15:57:24"",""16:02:28"",""304"""
"2023-06-01,""240"",""1"",""5"",""15:58:09"",""16:03:04"",""295"""
"2023-06-01,""241"",""1"",""2"",""16:00:09"",""16:03:15"",""186"""
"2023-06-01,""242"",""1"",""2"",""16:00:17"",""16:04:19"",""242"""
"2023-06-01,""243"",""1"",""2"",""16:01:09"",""16:06:12"",""303"""
"2023-06-01,""244"",""1"",""2"",""16:06:31"",""16:08:17"",""106"""
"2023-06-01,""245"",""1"",""5"",""16:08:28"",""16:09:27"",""59"""
"2023-06-01,""246"",""1"",""4"",""16:08:38"",""16:09:50"",""72"""
"2023-06-01,""247"",""1"",""2"",""16:09:10"",""16:10:28"",""78"""
"2023-06-01,""248"",""1"",""4"",""16:10:42"",""16:10:46"",""4"""
"2023-06-01,""249"",""1"",""3"",""16:10:50"",""16:11:45"",""55"""
"2023-06-01,""250"",""1"",""4"",""16:15:06"",""16:15:31"",""25"""
"2023-06-01,""251"",""1"",""4"",""16:17:36"",""16:18:34"",""58"""
"2023-06-01,""252"",""1"",""5"",""16:17:54"",""16:18:38"",""44"""
